Year,Album,Genre
1990,The Immaculate Collection,Pop
1991,Metallica,Rock
1992,The Bodyguard Soundtrack,Pop
1993,Music Box,Pop
1994,Cracked Rear View,Rock
1995,Jagged Little Pill,Rock
1996,Falling Into You,Pop
1997,Come On Over,Country
1998,Believe,Pop
1999,Milennium,Pop
2000,The Marshall Mathers LP,Hip Hop
2001,M!ssundaztood,Rock
2002,Come Away With Me,Pop
2003,Fallen,Rock
2004,Confessions,R&B
2005,All The Right Reasons,Rock
2006,Back To Black,R&B
2007,Good Girl Gone Bad,Pop
2008,The Fame,Pop
2009,I Dreamed A Dream,Pop
2010,Teenage Dream,Pop
2011,21,Pop
2012,Night Visions,Rock
2013,Frozen,Pop
2014,1989,Pop
2015,25,Pop
2016,Views,Hip Hop
2017,Divide,Pop
2018,Beerbongs & Bentleys,Hip Hop
2019,"When We All Fall Asleep, Where Do We Go?",Pop
2020,Map Of The Soul: 7,Pop
2021,30,Pop