Year,Album,CDs
1990,The Immaculate Collection,1
1991,Metallica,1
1992,The Bodyguard Soundtrack,1
1993,Music Box,1
1994,Cracked Rear View,1
1995,Jagged Little Pill,1
1996,Falling Into You,1
1997,Come On Over,1
1998,Believe,1
1999,Milennium,1
2000,The Marshall Mathers LP,1
2001,M!ssundaztood,1
2002,Come Away With Me,1
2003,Fallen,1
2004,Confessions,1
2005,All The Right Reasons,1
2006,Back To Black,1
2007,Good Girl Gone Bad,1
2008,The Fame,1
2009,I Dreamed A Dream,1
2010,Teenage Dream,1
2011,21,1
2012,Night Visions,1
2013,Frozen,1
2014,1989,1
2015,25,1
2016,Views,1
2017,Divide,1
2018,Beerbongs & Bentleys,1
2019,"When We All Fall Asleep, Where Do We Go?",1
2020,Map Of The Soul: 7,1
2021,30,1