Year,Album,Tracks,Album_Length
1990,The Immaculate Collection,17,01:13:32
1991,Metallica,12,01:02:40
1992,The Bodyguard Soundtrack,13,00:57:44
1993,Music Box,10,00:42:01
1994,Cracked Rear View,11,00:46:36
1995,Jagged Little Pill,13,00:57:23
1996,Falling Into You,14,01:07:00
1997,Come On Over,16,01:00:06
1998,Believe,10,00:44:00
1999,Milennium,12,00:48:11
2000,The Marshall Mathers LP,18,01:12:04
2001,M!ssundaztood,14,00:55:11
2002,Come Away With Me,14,00:45:03
2003,Fallen,12,00:48:45
2004,Confessions,17,01:00:30
2005,All The Right Reasons,11,00:41:33
2006,Back To Black,11,00:34:56
2007,Good Girl Gone Bad,12,00:46:02
2008,The Fame,14,00:50:20
2009,I Dreamed A Dream,12,00:43:00
2010,Teenage Dream,12,00:46:44
2011,21,11,00:48:01
2012,Night Visions,11,00:43:51
2013,Frozen,32,01:09:40
2014,1989,13,00:48:41
2015,25,11,00:48:24
2016,Views,20,01:21:14
2017,Divide,12,00:46:14
2018,Beerbongs & Bentleys,18,01:04:26
2019,"When We All Fall Asleep, Where Do We Go?",14,00:40:56
2020,Map Of The Soul: 7,20,01:15:00
2021,30,12,00:58:14